Campaign_No,Campaign_ID,Campaign_Name,Brand,Agent_Status,Start date,Date,Channel,Region,Gender,Age,CTR (%),CPC (_),RoAS,Reach,Frequency (x),Conversion,CPA (_),Conversion Rate (%),Engagement Rate (%),Campaign_Ideation_Time (days),AB_Test_Completion (days),Creative_Refresh_Time (days),Budget_Reallocation_Time (hrs),Optimization_Response_Time (mins),Personalization_Deployment_Time (hrs),Alert_Type,Threshold_Triggered,Auto_Action_Taken,Approval_Status,Business_Impact (_/%),Alert_Timestamp,Pre_Agent_Value,Post_Agent_Value,Improvement (%),Industry_Avg,Vs_Industry (%),Agent_Automated (%),Auto_Optimizations_Today,Avg_Response_Time (mins),Competitor_Share_of_Voice (%),Competitor_Action_Flag,Sentiment_Score (-1 to +1),Top_Consumer_Keyword,Media_Spend (_),Cost_Per_Engagement (_),Drop_off_Cart (%),Bounce_Rate (%),Seasonality_Flag,Influencer_Collaboration_Flag,Regulatory_Risk_Flag,Crisis_Alert_Flag,Brand_Awareness_Lift (%),Net_Promoter_Score (NPS),Forecasted_Conversions (7d),Forecasted_RoAS (7d),Agent_Recommendation_Flag
Campaign 47,CAMP0001,Festive Fiesta,Brand X Herbal,Manual,2024-01-01,2024-01-01,Facebook,Tier-3,Female,22,2.08,31.72,2.27,76664,1,3719,1820.53,2.75,7.8,1,9,19,11.32,114,27.6,Fatigue Detected,Budget > 80%,Paused,Pending,154112.01,2024-06-04 00:00:00,50.26,82.42,63.99,37.91,44.51,15,3,97,37.69230769,N,-0.18,NewLaunch,2255090.76,377.12,7.07,97.03,Off-season,N,N,N,12.86,-24,85,2.39,Optimize
Campaign 47,CAMP0002,Winter Warmth,Brand X Organic,Manual,2024-01-01,2024-01-02,Google Ads,Tier-2,All,52,2.08,46.14,4.43,79963,8.9,3904,896.85,2.05,1.3,22,15,8,5.44,150,41.61,RoAS Drop,Budget > 80%,Paused,Approved,382415.46,2024-11-05 00:00:00,80.46,123.62,53.64,52.71,70.91,15,3,5,26.92307692,Y,-0.28,Premium,3514212.33,3380.61,6.5,98.34,Regular,N,N,Y,12.91,-22,85,4.65,Scale Up
Campaign 43,CAMP0003,Diwali Dhamaka,Brand X Organic,Agent,2024-01-01,2024-01-03,LinkedIn,Pan-India,All,24,6.44,15.14166667,3.897481481,94293.68889,6.16,3505.244444,648.98,12.54459259,17.02103704,6,7.800925926,10.94907407,3.51,63.37962963,12.8712963,Fatigue Detected,RoAS < 1,Bid Reduced,Auto-resolved,446999.1378,2024-11-20 00:00:00,2.435925926,3.897481481,60,88.17,53.33996296,70,15,5,64.08692308,N,0.06,Premium,3658617.86,293.12,1.92,32.13,Holiday,N,N,N,19.13777778,-12,1023,2.17,Optimize
Campaign 6,CAMP0004,Winter Warmth,Brand X Herbal,Manual,2024-01-01,2024-01-04,Facebook,Tier-3,All,35,2.8,30.48,4,26727,2.71,4735,1743.68,11.16,11.61,20,10,14,17.32,84,8.46,Budget Cap,Budget > 80%,Paused,Auto-resolved,437439.01,2024-03-17 00:00:00,36.7,112.96,207.79,73.06,39.9,15,3,42,46.92307692,Y,-0.13,Premium,732398.58,236.03,20.62,86.78,Off-season,N,N,N,11.65,-8,85,4.12,Scale Up
Campaign 4,CAMP0005,Diwali Dhamaka,Brand X X Core,Manual,2024-01-01,2024-01-05,Google Ads,Pan-India,Male,32,2.83,34.6,2.93,92894,6.99,911,784.94,7.86,17.92,29,15,13,7.62,147,22.48,Fatigue Detected,Conv < 100,Budget Increased,Approved,51663.55,2024-12-06 00:00:00,62.45,100.27,60.56,46.56,53.71,15,3,59,23.84615385,Y,-0.03,NewLaunch,3222433.06,193.58,1.36,93.16,Regular,N,Y,N,13.08,-6,85,2.92,Optimize
Campaign 3,CAMP0006,Monsoon Mania,Brand X Premium,Manual,2024-01-01,2024-01-06,Google Ads,Tier-2,Male,43,0.72,48.9,2.51,2337,1.37,100,152.47,8.45,8.42,29,8,19,17.74,104,39.01,Budget Cap,Budget > 80%,Bid Reduced,Auto-resolved,300649.92,2024-01-03 00:00:00,35.87,96.2,168.19,83.81,12.39,15,3,69,26.15384615,Y,-0.17,Savings,130022.52,660.77,5.91,92.19,Holiday,N,N,N,8.87,-20,119,2.58,Optimize
Campaign 12,CAMP0007,Diwali Dhamaka,Brand X Organic,Manual,2024-01-01,2024-01-07,LinkedIn,Tier-3,All,43,3.98,26,0.97,89228,5.34,4245,1121.69,8.37,7.84,16,10,9,16.15,153,30.23,Fatigue Detected,Budget > 80%,Budget Increased,Auto-resolved,456592.24,2024-04-23 00:00:00,60.35,92.96,54.03,36.53,56.43,15,3,28,36.92307692,N,-0.18,Premium,2077934.65,297.04,7.07,91.35,Holiday,N,N,N,13.03,-20,86,1.03,Pause
Campaign 5,CAMP0008,Summer Splash,Brand X Premium,Manual,2024-01-01,2024-01-08,Facebook,Tier-3,All,43,3.64,18.87,1.69,17584,7,2533,530.35,0.61,10.19,12,7,20,4.31,129,39.71,CTR Dip,CTR < 2%,Bid Reduced,Pending,166910.69,2024-12-24 00:00:00,17.7,53.87,204.35,82.52,-28.65,15,0,98,41.53846154,N,-0.15,Discount,320556.91,178.9,17.58,99.33,Regular,N,N,N,11.17,-28,86,1.75,Optimize
Campaign 47,CAMP0009,Festive Fiesta,Brand X Organic,Agent,2024-01-01,2024-01-09,LinkedIn,Tier-2,All,24,4.2,10.90767045,4.925090909,122321.0909,5.87,4008.727273,637.0860795,12.16581818,13.39272727,8.153409091,5,12.35795455,8.217897727,65.3125,11.90426136,RoAS Drop,Conv < 100,Budget Increased,Approved,355892.2204,2024-11-10 00:00:00,3.078181818,4.925090909,60,82.9,66.924,70,8,33,53.31769231,N,0.19,Festive,1455380.9,124.58,3.96,32.04,Off-season,N,N,N,19.57672727,-3,978,3.1,Scale Up
Campaign 1,CAMP0010,Festive Fiesta,Brand X Classic,Manual,2024-01-01,2024-01-10,LinkedIn,Pan-India,Female,32,3.64,24.73,3.8,83221,3.13,345,790.24,14.11,17.65,20,10,17,13.17,82,13.38,Budget Cap,RoAS < 1,Budget Increased,Pending,125306.53,2024-10-07 00:00:00,28.88,141.97,391.59,78.46,63.51,15,3,12,46.15384615,Y,-0.04,Savings,2042569,139.06,0.53,84.96,Off-season,N,N,N,12.95,-4,86,4.09,Scale Up
